"genus","species","taxon","taxon_provided","log10_range","mass_g","source_mass","n","kingdom","phylum","class","order","family","taxonomy_source","gbif_confidence","gbif_status","gbif_family","gbif_order","species_changed"
"Echinosorex","Echinosorex gymnura","Echinosorex_gymnura","Echinosorex gymnura",0.122856219726479,851.4,"AnAge; Cai_etal_2025; Ernest_2003; Faurby_etal_2018; Jones_2009; Myrhvold_2015; Quaardvark; Smith_2003",9,"Animalia","Chordata","Mammalia","Erinaceomorpha","Erinaceidae","GBIF",99,"ACCEPTED","Erinaceidae","Erinaceomorpha",FALSE
"Echinotriton","Echinotriton andersoni","Echinotriton_andersoni","Echinotriton andersoni",0,30,"Cai_etal_2025",1,"Animalia","Chordata","Amphibia","Caudata","Salamandridae","GBIF",99,"ACCEPTED","Salamandridae","Caudata",FALSE
"Echinotriton","Echinotriton chinhaiensis","Echinotriton_chinhaiensis","Echinotriton chinhaiensis",0,34.2,"Cai_etal_2025",1,"Animalia","Chordata","Amphibia","Caudata","Salamandridae","GBIF",99,"ACCEPTED","Salamandridae","Caudata",FALSE
"Echiopsis","Echiopsis curta","Echiopsis_curta","Echiopsis curta",0.0457574905606752,77.9,"Feldman_etal_2016; Myrhvold_2015",2,"Animalia","Chordata","Reptilia","Squamata","Elapidae","GBIF",99,"ACCEPTED","Elapidae",NA,FALSE
"Echiothrix","Echiothrix centrosa","Echiothrix_centrosa","Echiothrix centrosa",0,260.9,"Faurby_etal_2018",1,"Animalia","Chordata","Mammalia","Rodentia","Muridae","GBIF",99,"ACCEPTED","Muridae","Rodentia",FALSE
"Echiothrix","Echiothrix leucura","Echiothrix_leucura","Echiothrix leucura",0,267.3,"Faurby_etal_2018",1,"Animalia","Chordata","Mammalia","Rodentia","Muridae","GBIF",99,"ACCEPTED","Muridae","Rodentia",FALSE
"Echis","Echis borkini","Echis_borkini","Echis borkini",0,93.9,"Feldman_etal_2016",1,"Animalia","Chordata","Reptilia","Squamata","Viperidae","GBIF",99,"ACCEPTED","Viperidae",NA,FALSE
"Echis","Echis carinatus","Echis_carinatus","Echis carinatus",0.282759296956908,207.2,"Feldman_etal_2016; Myrhvold_2015",2,"Animalia","Chordata","Reptilia","Squamata","Viperidae","GBIF",97,"ACCEPTED","Viperidae",NA,FALSE
"Echis","Echis coloratus","Echis_coloratus","Echis coloratus",0,383.6,"Feldman_etal_2016",1,"Animalia","Chordata","Reptilia","Squamata","Viperidae","GBIF",97,"ACCEPTED","Viperidae",NA,FALSE
"Echis","Echis hughesi","Echis_hughesi","Echis hughesi",0,324.8,"Feldman_etal_2016",1,"Animalia","Chordata","Reptilia","Squamata","Viperidae","GBIF",99,"ACCEPTED","Viperidae",NA,FALSE
"Echis","Echis jogeri","Echis_jogeri","Echis jogeri",0,15.7,"Feldman_etal_2016",1,"Animalia","Chordata","Reptilia","Squamata","Viperidae","GBIF",99,"ACCEPTED","Viperidae",NA,FALSE
"Echis","Echis khosatzkii","Echis_khosatzkii","Echis khosatzkii",0,117.9,"Feldman_etal_2016",1,"Animalia","Chordata","Reptilia","Squamata","Viperidae","GBIF",99,"ACCEPTED","Viperidae",NA,FALSE
"Echis","Echis leucogaster","Echis_leucogaster","Echis leucogaster",0.388666464543077,244.8,"Feldman_etal_2016; Myrhvold_2015",2,"Animalia","Chordata","Reptilia","Squamata","Viperidae","GBIF",99,"ACCEPTED","Viperidae",NA,FALSE
"Echis","Echis megalocephalus","Echis_megalocephalus","Echis megalocephalus",0,96.4,"Feldman_etal_2016",1,"Animalia","Chordata","Reptilia","Squamata","Viperidae","GBIF",99,"ACCEPTED","Viperidae",NA,FALSE
"Echis","Echis ocellatus","Echis_ocellatus","Echis ocellatus",0.0585650209318368,152.2,"Feldman_etal_2016; Myrhvold_2015",2,"Animalia","Chordata","Reptilia","Squamata","Viperidae","GBIF",99,"ACCEPTED","Viperidae",NA,FALSE
"Echis","Echis omanensis","Echis_omanensis","Echis omanensis",0,272.3,"Feldman_etal_2016",1,"Animalia","Chordata","Reptilia","Squamata","Viperidae","GBIF",99,"ACCEPTED","Viperidae",NA,FALSE
"Echis","Echis pyramidum","Echis_pyramidum","Echis pyramidum",0.359327676186081,233.4,"Feldman_etal_2016; Myrhvold_2015",2,"Animalia","Chordata","Reptilia","Squamata","Viperidae","GBIF",99,"ACCEPTED","Viperidae",NA,FALSE
"Echiurus","Echiurus antarcticus","Echiurus_antarcticus","Echiurus antarcticus",0,0.00088,"Brose_etal_2018",2,"Animalia","Annelida","Polychaeta","Echiuroidea","Echiuridae","GBIF",99,"ACCEPTED","Echiuridae","Echiuroidea",FALSE
"Echmepteryx","Echmepteryx hageni","Echmepteryx_hageni","Echmepteryx hageni",0,0.00325,"Brose_etal_2018",12,"Animalia","Arthropoda","Insecta","Psocodea","Lepidopsocidae","GBIF",99,"ACCEPTED","Lepidopsocidae","Psocodea",FALSE
"Echymipera","Echymipera clara","Echymipera_clara","Echymipera clara",0.0121941206973162,1215,"Cai_etal_2025; Faurby_etal_2018; Jones_2009; Myrhvold_2015; Smith_2003; Tucker_etal_2014b",6,"Animalia","Chordata","Mammalia","Peramelemorphia","Peramelidae","GBIF",99,"ACCEPTED","Peramelidae","Peramelemorphia",FALSE
"Echymipera","Echymipera davidi","Echymipera_davidi","Echymipera davidi",0.0654749709600342,883.5,"Faurby_etal_2018; Jones_2009; Myrhvold_2015; Smith_2003",4,"Animalia","Chordata","Mammalia","Peramelemorphia","Peramelidae","GBIF",99,"ACCEPTED","Peramelidae","Peramelemorphia",FALSE
"Echymipera","Echymipera echinista","Echymipera_echinista","Echymipera echinista",0.0808464641199614,1102,"Faurby_etal_2018; Jones_2009; Myrhvold_2015; Smith_2003",4,"Animalia","Chordata","Mammalia","Peramelemorphia","Peramelidae","GBIF",99,"ACCEPTED","Peramelidae","Peramelemorphia",FALSE
