Data set,Source,Predation or Parasitism,Dim,Field?,Habitat,Fresh or marine (fish only),Predator cellularity,Vert/invert,Major grouping 1,Major grouping 2,Predator scientific name,Predator type,Prey cellularity,Vert/invert,Major grouping 1,Major grouping 2,Prey,Prey scientific name,Prey type,Data type,Prey replaced?,Hours starved,Temp (C ),Interference,Pred per arena,2D Arena size (cm2 for arena bottom),3D arena size (cm3 of arena volume),Predator mass (mg),Predator mass source code,Predator mass regression code,Prey mass (mg),Prey mass source code,Prey mass regression code,Units of a,Data set,Mean R2 of fits,Fitted a (median of BS samples),CI a low,CI a hi,Fittted h (day),CI h low,CI h hi,Number of bootstraps,Notes 1,Notes 2
492,Rindone and Eggleston 2011 J OF EXP MARINE BIOL AND ECOL,Pred,2.50,,Aquatic,,Metazoan,Invertebrate,Crustacean,Decapod,Menippe spp. (M. mercenaria/M. adina hybrids),Large Adult Male intermolt ,Metazoan,Invertebrate,Mollusk,Bivalve,Eastern oyster,Crassosotrea virginica,Wild caught,Raw data,N,48,,,1,1417.50,60000.00,4.53E+05,Original length,Order,,,,m^2.5 per pred per day,492,0.02,6.53E-01,2.42E-01,3.14E+00,1.19E-02,8.54E-03,1.58E-02,200,Predator length is actually carapace width,
493,Rindone and Eggleston 2011 J OF EXP MARINE BIOL AND ECOL,Pred,2.00,,Aquatic,,Metazoan,Invertebrate,Crustacean,Decapod,Panopeus herbstii,Wild caught Adult Male,Metazoan,Invertebrate,Mollusk,Bivalve,Eastern oyster,Crassosotrea virginica,Wild caught,Raw data,N,48,,,1,3300.00,,1.17E+04,Alternate species length,Order,,,,m^2 per pred per day,493,0.49,3.99E-01,1.91E-01,8.68E-01,4.35E-02,1.42E-02,6.62E-02,200,,
494,Farrokhi et al 2010 J OF INSECT SCI,Par,2.50,,Terrestrial,,Metazoan,Invertebrate,Insect,Hymenoptera,Trichogramma brassicae,Uninfected Emerged adult females,Metazoan,Invertebrate,Insect,Lepidoptera,Angoumois grain moth,Sitotroga cerealella,Eggs,Mean,N,,25.0,,1,3.50,,1.26E+02,Alternate order length,Order,,,,m^2.5 per pred per day,494,0.96,3.03E-05,2.54E-05,3.51E-05,2.23E-02,1.84E-02,2.51E-02,200,,
495,Farrokhi et al 2010 J OF INSECT SCI,Par,2.50,,Terrestrial,,Metazoan,Invertebrate,Insect,Hymenoptera,Trichogramma brassicae,Wolbacchia-infected emerged adult female,Metazoan,Invertebrate,Insect,Lepidoptera,Angoumois grain moth,Sitotroga cerealella,Eggs,Mean,N,,5.0,,1,3.50,,1.26E+02,Alternate order length,Order,,,,m^2.5 per pred per day,495,0.95,3.55E-05,3.07E-05,3.98E-05,3.04E-02,2.77E-02,3.32E-02,200,,
496,Coll and Ridgeway 1995 ECO POP BIOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Orius insidiosus,Female (5d old),Metazoan,Invertebrate,Insect,Thysanoptera,Western flower thrip,Frankliniella occidentalis,2nd instar,Mean,N,24,25.0,,1,34.60,1570.80,2.35E-01,Alternate species length,Order,4.17E-02,Alternate species length,Order,m^2 per pred per day,496,0.74,1.64E-03,1.21E-03,3.32E-03,2.30E-02,7.77E-13,8.20E-02,200,On bean plant,
497,Coll and Ridgeway 1995 ECO POP BIOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Orius insidiosus,Female (5d old),Metazoan,Invertebrate,Insect,Thysanoptera,Western flower thrip,Frankliniella occidentalis,2nd instar,Mean,N,24,25.0,,1,34.60,1570.80,2.35E-01,Alternate species length,Order,4.17E-02,Alternate species length,Order,m^2 per pred per day,497,0.55,2.64E-03,1.15E-03,5.79E-03,1.11E-01,2.75E-02,1.81E-01,200,On pepper plant,
498,Coll and Ridgeway 1995 ECO POP BIOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Orius insidiosus,Female (5d old),Metazoan,Invertebrate,Insect,Thysanoptera,Western flower thrip,Frankliniella occidentalis,2nd instar,Mean,N,24,25.0,,1,34.60,1570.80,2.35E-01,Alternate species length,Order,4.17E-02,Alternate species length,Order,m^2 per pred per day,498,0.43,7.95E-04,4.92E-04,1.82E-03,1.02E-01,4.58E-10,2.80E-01,200,On tomato plant,
499,Redpath and Thirgood 1999 J ANIM ECOL,Pred,2.00,In the field,Terrestrial,,Metazoan,Vertebrate,Bird,,Circus cyaneus,Male,Metazoan,Vertebrate,Bird,,Red grouse,Lagopus lagopus scoticus,Chick,Mean,Y,,37.0,,1,,,3.92E+05,Alternate species mass,,1.47E+04,Alternate species mass,,m^2 per pred per day,499,0.52,6.36E+07,4.63E+07,9.32E+07,1.69E-01,1.13E-01,2.48E-01,200,,
500,Redpath and Thirgood 1999 J ANIM ECOL,Pred,2.00,In the field,Terrestrial,,Metazoan,Vertebrate,Bird,,Circus cyaneus,Female,Metazoan,Vertebrate,Bird,,Red grouse,Lagopus lagopus scoticus,Chick,Mean,Y,,37.0,,1,,,3.92E+05,Alternate species mass,,1.47E+04,Alternate species mass,,m^2 per pred per day,500,0.37,4.00E+07,2.58E+07,5.98E+07,2.51E-01,2.08E-02,3.95E-01,200,,
501,Redpath and Thirgood 1999 J ANIM ECOL,Pred,2.00,In the field,Terrestrial,,Metazoan,Vertebrate,Bird,,Circus cyaneus,Male,Metazoan,Vertebrate,Bird,,Meadow pipit,Anthus pratensis,,Mean,Y,,37.0,,1,,,3.92E+05,Alternate species mass,,1.84E+04,Alternate species mass,,m^2 per pred per day,501,0.79,2.51E+07,2.21E+07,3.26E+07,5.00E-10,4.92E-10,3.08E-02,200,,
502,Redpath and Thirgood 1999 J ANIM ECOL,Pred,2.00,In the field,Terrestrial,,Metazoan,Vertebrate,Bird,,Circus cyaneus,Female,Metazoan,Vertebrate,Bird,,Meadow pipit,Anthus pratensis,,Mean,Y,,37.0,,1,,,3.92E+05,Alternate species mass,,1.84E+04,Alternate species mass,,m^2 per pred per day,502,0.92,2.55E+07,2.16E+07,3.21E+07,4.88E-10,2.99E-10,7.47E-02,200,,
503,Gilg et al 2006 OIKOS,Pred,2.00,In the field,Terrestrial,,Metazoan,Vertebrate,Bird,,Nyctea scandiaca,Wild,Metazoan,Vertebrate,Mammal,,Collared lemming,Dicrostonyx groenlandicus,,Mean,Y,,37.0,,1,,,2.04E+06,Alternate species mass,,6.60E+04,Alternate species mass,,m^2 per pred per day,503,0.22,6.35E+04,2.85E+04,2.04E+06,2.11E-01,1.68E-01,2.57E-01,200,,
504,Gilg et al 2006 OIKOS,Pred,2.00,In the field,Aquatic,,Metazoan,Vertebrate,Bird,,Stercorarius longicaudus,Wild,Metazoan,Vertebrate,Mammal,,Collared lemming,Dicrostonyx groenlandicus,,Mean,Y,,37.0,,1,,,2.98E+05,Alternate species mass,,6.60E+04,Alternate species mass,,m^2 per pred per day,504,0.68,5.70E+05,2.77E+05,1.21E+06,2.16E-01,1.64E-01,2.83E-01,200,Prey density excludes prey >=45g,
505,Gilg et al 2006 OIKOS,Pred,2.00,In the field,Terrestrial,,Metazoan,Vertebrate,Mammal,Carnivora,Alopex lagopus,Wild,Metazoan,Vertebrate,Mammal,,Collared lemming,Dicrostonyx groenlandicus,,Mean,Y,,37.0,,1,,,5.20E+06,Alternate species mass,,6.60E+04,Alternate species mass,,m^2 per pred per day,505,0.84,2.04E+05,1.33E+05,3.10E+05,2.50E-01,2.13E-01,2.97E-01,200,,
506,Gilg et al 2006 OIKOS,Pred,2.00,In the field,Terrestrial,,Metazoan,Vertebrate,Mammal,Carnivora,Mustela erminea,Wild,Metazoan,Vertebrate,Mammal,,Collared lemming,Dicrostonyx groenlandicus,,Mean,Y,,37.0,,1,,,1.10E+05,Alternate species mass,,6.60E+04,Alternate species mass,,m^2 per pred per day,506,0.59,1.68E+05,1.01E+05,3.17E+05,4.34E-01,3.16E-01,5.85E-01,200,Summer/Spring,
507,Gilg et al 2006 OIKOS,Pred,2.00,In the field,Terrestrial,,Metazoan,Vertebrate,Mammal,Carnivora,Mustela erminea,Wild,Metazoan,Vertebrate,Mammal,,Collared lemming,Dicrostonyx groenlandicus,,Mean,Y,,37.0,,1,,,1.10E+05,Alternate species mass,,6.60E+04,Alternate species mass,,m^2 per pred per day,507,0.07,1.44E+06,4.15E+05,3.58E+07,4.96E-01,4.29E-01,5.73E-01,200,Winter,
508,Skirvin and Fenlon 2001 BULL ENTOMOL RES,Pred,2.50,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Egg,Mean,N,,23.2,,1,,,6.66E-02,Alternate species length,Class,2.11E-03,Alternate species length,Class,Arenas per pred per day,508,0.71,1.42E-03,1.01E-03,2.15E-03,1.47E-02,9.76E-03,2.08E-02,200,On Choisya ternata,
509,Skirvin and Fenlon 2001 BULL ENTOMOL RES,Pred,2.50,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Egg,Mean,N,,23.2,,1,,,6.66E-02,Alternate species length,Class,2.11E-03,Alternate species length,Class,Arenas per pred per day,509,0.35,3.27E-03,1.33E-03,8.82E-03,2.40E-02,4.96E-03,4.25E-02,200,On Ceanothus thyrsiflorus var. 'Autumnal Blue',
510,Skirvin and Fenlon 2001 BULL ENTOMOL RES,Pred,2.50,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Egg,Mean,N,,23.2,,1,,,6.66E-02,Alternate species length,Class,2.11E-03,Alternate species length,Class,Arenas per pred per day,510,0.48,1.45E-03,6.75E-04,2.55E-03,2.52E-02,4.13E-09,4.90E-02,200,On Euonymus japonicus,
511,Gilioli et al 2005 J ECON ENTOMOL,Pred,2.50,,Terrestrial,,Metazoan,Invertebrate,Insect,Diptera,Coenosia attenuata,Female,Metazoan,Invertebrate,Insect,Diptera,Fruit fly,Drosophila melanogaster,,Mean,Y,,12.0,,1,625.00,15625.00,1.57E+00,Alternate genus length,Order,1.02E+00,Alternate species mass,,m^2.5 per pred per day,511,0.00,3.65E-03,1.71E-03,5.82E-03,1.18E-01,7.45E-02,2.35E-01,200,,
512,Gilioli et al 2005 J ECON ENTOMOL,Pred,2.50,,Terrestrial,,Metazoan,Invertebrate,Insect,Diptera,Coenosia attenuata,Female,Metazoan,Invertebrate,Insect,Diptera,Fruit fly,Drosophila melanogaster,,Mean,Y,,18.0,,1,625.00,15625.00,1.57E+00,Alternate genus length,Order,1.02E+00,Alternate species mass,,m^2.5 per pred per day,512,0.29,2.60E-02,1.31E-02,5.10E-02,3.28E-01,2.46E-01,3.94E-01,200,,
513,Gilioli et al 2005 J ECON ENTOMOL,Pred,2.50,,Terrestrial,,Metazoan,Invertebrate,Insect,Diptera,Coenosia attenuata,Female,Metazoan,Invertebrate,Insect,Diptera,Fruit fly,Drosophila melanogaster,,Mean,Y,,24.0,,1,625.00,15625.00,1.57E+00,Alternate genus length,Order,1.02E+00,Alternate species mass,,m^2.5 per pred per day,513,0.55,4.63E-02,3.11E-02,7.95E-02,9.98E-02,7.99E-02,1.21E-01,200,,
514,Gilioli et al 2005 J ECON ENTOMOL,Pred,2.50,,Terrestrial,,Metazoan,Invertebrate,Insect,Diptera,Coenosia attenuata,Female,Metazoan,Invertebrate,Insect,Diptera,Fruit fly,Drosophila melanogaster,,Mean,Y,,30.0,,1,625.00,15625.00,1.57E+00,Alternate genus length,Order,1.02E+00,Alternate species mass,,m^2.5 per pred per day,514,0.34,8.47E-02,4.87E-02,1.75E-01,8.46E-02,6.71E-02,9.88E-02,200,,
515,Gilioli et al 2005 J ECON ENTOMOL,Pred,2.50,,Terrestrial,,Metazoan,Invertebrate,Insect,Diptera,Coenosia attenuata,Female,Metazoan,Invertebrate,Insect,Diptera,Fruit fly,Drosophila melanogaster,,Mean,Y,,36.0,,1,625.00,15625.00,1.57E+00,Alternate genus length,Order,1.02E+00,Alternate species mass,,m^2.5 per pred per day,515,0.36,1.67E-01,1.07E-01,2.64E-01,7.34E-02,6.60E-02,8.03E-02,200,,
516,Mansour and Heimbach 1993 ENTOMOPHAGA,Pred,2.50,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Spider,Pardosa agrestis,"Adult (50% male, 50% female)",Metazoan,Invertebrate,Insect,Hemiptera,Bird cherry-oat aphid,Rhopalosiphum padi,,Mean,N,72,20.0,,1,201.06,4624.42,1.28E+01,Alternate species length,Order,8.46E-03,Original length,,m^2.5 per pred per day,516,0.87,1.90E-02,1.52E-02,2.61E-02,8.50E-03,4.76E-03,1.22E-02,200,,
517,Mansour and Heimbach 1993 ENTOMOPHAGA,Pred,2.50,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Spider,Pardosa agrestis,Juvenile (20d old),Metazoan,Invertebrate,Insect,Hemiptera,Bird cherry-oat aphid,Rhopalosiphum padi,,Mean,N,72,20.0,,1,201.06,4624.42,1.01E+01,Alternate order length,Order,8.46E-03,Original length,Family,m^2.5 per pred per day,517,0.30,6.88E-03,3.73E-03,1.36E-02,2.49E-01,9.19E-02,3.79E-01,200,,
518,Mansour and Heimbach 1993 ENTOMOPHAGA,Pred,2.50,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Spider,Erigone atra,Male,Metazoan,Invertebrate,Insect,Hemiptera,Bird cherry-oat aphid,Rhopalosiphum padi,,Mean,N,72,20.0,,1,201.06,4624.42,2.05E+00,Alternate species length,Order,8.46E-03,Original length,Family,m^2.5 per pred per day,518,0.15,2.64E-02,8.68E-03,5.73E-01,2.10E-01,1.31E-01,2.60E-01,200,,
519,Mansour and Heimbach 1993 ENTOMOPHAGA,Pred,2.50,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Spider,Erigone atra,Female,Metazoan,Invertebrate,Insect,Hemiptera,Bird cherry-oat aphid,Rhopalosiphum padi,,Mean,N,72,20.0,,1,201.06,4624.42,2.05E+00,Alternate species length,Order,8.46E-03,Original length,Family,m^2.5 per pred per day,519,0.45,1.91E-02,1.15E-02,4.19E-02,5.94E-02,2.24E-02,9.42E-02,200,,
520,Mansour and Heimbach 1993 ENTOMOPHAGA,Pred,2.50,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Spider,Lepthyphantes tenuis,"Adult (50% male, 50% female)",Metazoan,Invertebrate,Insect,Hemiptera,Bird cherry-oat aphid,Rhopalosiphum padi,,Mean,N,72,20.0,,1,201.06,4624.42,1.01E+01,Alternate order length,Order,8.46E-03,Original length,Family,m^2.5 per pred per day,520,0.52,1.74E-02,8.96E-03,7.00E-02,1.07E-01,5.74E-02,1.62E-01,200,,
521,Walker and Rypstra 2001 AM MIDL NAT,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Spider,Rabidosa rabida,Female,Metazoan,Invertebrate,Insect,Orthoptera,House cricket,Acheta domesticus,,Mean,N,336,25.0,,1,56.75,,7.50E+01,Original mass,,4.30E+01,Average species mass,,m^2 per pred per day,521,0.44,9.00E-03,5.29E-03,1.84E-02,3.33E-02,2.44E-11,1.74E-01,200,,
522,Walker and Rypstra 2001 AM MIDL NAT,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Spider,Rabidosa rabida,Male,Metazoan,Invertebrate,Insect,Orthoptera,House cricket,Acheta domesticus,,Mean,N,336,25.0,,1,56.75,,7.50E+01,Original mass,,4.30E+01,Average species mass,,m^2 per pred per day,522,0.13,5.89E-02,2.31E-02,8.11E-01,4.97E-02,3.41E-12,1.26E-01,200,,
523,Toscano et al 2014 OECOLOGIA,Pred,2.00,,Aquatic,,Metazoan,Invertebrate,Crustacean,Decapod,Eurypanopeus depressus,Wild caught,Metazoan,Invertebrate,Mollusk,Bivalve,Scorched mussel,Brachidontes exustus,,Mean,N,24,27.0,,1,7389.81,,1.62E+02,Original length,Order,2.76E+01,Original length,Order,m^2 per pred per day,523,0.27,1.60E+00,1.07E+00,2.16E+00,2.45E-02,3.56E-03,4.43E-02,200,Water temperature from https://www.nodc.noaa.gov/dsdt/cwtg/all_meanT.html,
524,Toscano et al 2014 OECOLOGIA,Pred,2.00,,Aquatic,,Metazoan,Invertebrate,Crustacean,Decapod,Eurypanopeus depressus,Wild caught (parasitized by Loxothylaccus panopei),Metazoan,Invertebrate,Mollusk,Bivalve,Scorched mussel,Brachidontes exustus,,Mean,N,24,27.0,,1,7389.81,,1.62E+02,Original length,Order,2.76E+01,Original length,Order,m^2 per pred per day,524,0.18,7.98E-01,4.08E-01,1.53E+00,1.87E-01,8.30E-02,2.69E-01,200,Water temperature from https://www.nodc.noaa.gov/dsdt/cwtg/all_meanT.html,
525,Witz 1996 J HERP,Pred,2.00,,Terrestrial,,Metazoan,Vertebrate,Reptile,,Aspidoscelis sexlinata (Cnemidophorus sexlineatus),"Adult, wild caught",Metazoan,Invertebrate,Insect,Orthoptera,House cricket,Acheta domesticus,,Mean,Y,72,38.0,,1,10000 and 40000,,1.73E+05,Original length,Family,4.30E+01,Average species mass,,m^2 per pred per day,525,0.16,3.01E+02,2.01E+02,5.00E+02,7.25E-03,4.10E-03,9.94E-03,200,,
526,Hossie and Murray 2010 OECOLOGIA,Pred,3.00,,Aquatic,,Metazoan,Invertebrate,Insect,Odonata,Anax junius,Nymph,Metazoan,Vertebrate,Amphibian,,Northern leopard frog,Rana pipiens,Tadpole,Raw data,N,,,,1,,10000.00,2.25E+03,Alternate species length,Order,6.00E+01,Alternate species mass,,m^3 per pred per day,526,0.52,8.60E-03,5.81E-03,1.41E-02,3.61E-02,1.68E-02,5.68E-02,200,,
527,Hossie and Murray 2010 OECOLOGIA,Pred,3.00,,Aquatic,,Metazoan,Invertebrate,Insect,Odonata,Anax junius,Nymph,Metazoan,Vertebrate,Amphibian,,Northern leopard frog,Rana pipiens,Tadpole,Raw data,N,,,,1,,10000.00,2.25E+03,Alternate species length,Order,6.00E+01,Alternate species mass,,m^3 per pred per day,527,0.46,8.03E-03,4.74E-03,1.64E-02,2.39E-02,3.68E-03,5.76E-02,200,Low leaf litter,
528,Hossie and Murray 2010 OECOLOGIA,Pred,3.00,,Aquatic,,Metazoan,Invertebrate,Insect,Odonata,Anax junius,Nymph,Metazoan,Vertebrate,Amphibian,,Northern leopard frog,Rana pipiens,Tadpole,Raw data,N,,,,1,,10000.00,2.25E+03,Alternate species length,Order,6.00E+01,Alternate species mass,,m^3 per pred per day,528,0.51,9.33E-03,5.45E-03,1.51E-02,2.47E-02,4.30E-03,4.76E-02,200,High leaf litter,
529,Ranta and Nuutinen 1985 J ANIM ECOL,Pred,3.00,,Mixed,,Metazoan,Vertebrate,Amphibian,,Lissotriton vulgaris (Triturus vulgaris),Tadpole,Metazoan,Invertebrate,Crustacean,Cladoceran,Water flea,Daphnia longispina,Wild caught,Mean,Y,10,22.0,,1,,800.00,,,,2.96E-01,Original length,Order,m^3 per pred per day,529,0.68,5.47E-01,3.83E-01,7.78E-01,4.68E-04,4.38E-04,5.10E-04,200,,
530,Ranta and Nuutinen 1985 J ANIM ECOL,Pred,3.00,,Mixed,,Metazoan,Vertebrate,Amphibian,,Lissotriton vulgaris (Triturus vulgaris),Tadpole,Metazoan,Invertebrate,Crustacean,Cladoceran,Water flea,Daphnia magna,Wild caught,Mean,Y,10,22.0,,1,,800.00,,,,9.21E-01,Original length,Order,m^3 per pred per day,530,0.36,1.77E-01,7.86E-02,3.81E-01,1.41E-03,1.14E-03,1.74E-03,200,,
531,Ranta and Nuutinen 1985 J ANIM ECOL,Pred,3.00,,Mixed,,Metazoan,Vertebrate,Amphibian,,Lissotriton vulgaris (Triturus vulgaris),Tadpole,Metazoan,Invertebrate,Crustacean,Cladoceran,Water flea,Daphnia longispina,Wild caught,Mean,Y,10,22.0,,1,,800.00,,,,2.96E-01,Original length,Order,m^3 per pred per day,531,0.73,7.13E-01,5.17E-01,9.73E-01,2.57E-04,2.39E-04,2.75E-04,200,,
