"taxon","kingdom","phylum","class","order","family","taxon_provided","species_changed","taxonomy_source","genus","species","gbif_confidence","gbif_status","gbif_family","gbif_order","gbif_usageKey"
"Labidocera_jollae","Animalia","Arthropoda","Copepoda","Calanoida","Pontellidae","Labidocera jollae",FALSE,"GBIF","Labidocera","Labidocera jollae",99,"ACCEPTED","Pontellidae","Calanoida","5166360"
"Lampropeltis_webbi","Animalia","Chordata","Squamata","Squamata","Colubridae","Lampropeltis webbi",FALSE,"GBIF","Lampropeltis","Lampropeltis webbi",99,"ACCEPTED","Colubridae",NA,"5224470"
"Latrodectus_hesperus","Animalia","Arthropoda","Arachnida","Araneae","Theridiidae","Latrodectus hesperus",FALSE,"GBIF","Latrodectus","Latrodectus hesperus",99,"ACCEPTED","Theridiidae","Araneae","2157942"
"Lepidion_schmidti","Animalia","Chordata",NA,"Gadiformes","Moridae","Lepidion schmidti",FALSE,"GBIF","Lepidion","Lepidion schmidti",99,"ACCEPTED","Moridae","Gadiformes","5215429"
"Leporinus_fasciatus","Animalia","Chordata",NA,"Characiformes","Anostomidae","Leporinus fasciatus",FALSE,"GBIF","Leporinus","Leporinus fasciatus",99,"ACCEPTED","Anostomidae","Characiformes","2355387"
"Leptodactylus_labyrinthicus","Animalia","Chordata","Amphibia","Anura","Leptodactylidae","Leptodactylus labyrinthicus",FALSE,"GBIF","Leptodactylus","Leptodactylus labyrinthicus",99,"ACCEPTED","Leptodactylidae","Anura","5217561"
"Leptodactylus_vastus","Animalia","Chordata","Amphibia","Anura","Leptodactylidae","Leptodactylus vastus",FALSE,"GBIF","Leptodactylus","Leptodactylus vastus",99,"ACCEPTED","Leptodactylidae","Anura","5217554"
"Liljeborgia_georgiana","Animalia","Arthropoda","Malacostraca","Amphipoda","Liljeborgiidae","Liljeborgia georgiana",FALSE,"GBIF","Liljeborgia","Liljeborgia georgiana",99,"ACCEPTED","Liljeborgiidae","Amphipoda","4316303"
"Liljeborgia_kinahani","Animalia","Arthropoda","Malacostraca","Amphipoda","Liljeborgiidae","Liljeborgia kinahani",FALSE,"GBIF","Liljeborgia","Liljeborgia kinahani",99,"ACCEPTED","Liljeborgiidae","Amphipoda","2216135"
"Lineus_longifissus","Animalia","Nemertea","Pilidiophora","Heteronemertea","Lineidae","Lineus longifissus",FALSE,"GBIF","Lineus","Lineus longifissus",99,"ACCEPTED","Lineidae","Heteronemertea","2508424"
"Lineus_ruber","Animalia","Nemertea","Pilidiophora","Heteronemertea","Lineidae","Lineus ruber",FALSE,"GBIF","Lineus","Lineus ruber",99,"ACCEPTED","Lineidae","Heteronemertea","2508484"
"Liocarcinus_arcuatus","Animalia","Arthropoda","Malacostraca","Decapoda","Polybiidae","Liocarcinus arcuatus",TRUE,"GBIF","Liocarcinus","Liocarcinus navigator",98,"SYNONYM","Polybiidae","Decapoda","4307259"
