Group,Higher_Taxon,Family,Species,MIN,q25Wkg,qWkg,Mg,TC,DMg,N_DM,WC,Source,mass_g
I,Copepoda,Megacalanidae,Megacalanus sp.,,A,0.918,0.180,0.0356,1.5,,,Thuesen et al. 1998,0.180
I,Copepoda,Megacalanidae,Megacalanus sp.,,A,1.071,0.210,0.0345,1.5,,,Thuesen et al. 1998,0.210
I,Copepoda,Megacalanidae,Megacalanus sp.,,A,1.321,0.467,0.0326,10,,,Thuesen et al. 1998,0.467
I,Copepoda,Megacalanidae,Megacalanus sp.,,B,MIN,0.640,0.160,0.0372,5,,Thuesen et al. 1998,0.640
I,Copepoda,Calanidae,Mesocalanus tenuicornis,MIN,14.9269,7.889,0.000155,15.8,0.000031,80,,Ikeda et al. 2001,0.000155
I,Copepoda,Metridinidae,Metridia gerlachei,MIN,2.3250,0.411,0.001409,0,0.00025,82.2,,Kawall et al. 2001,0.001409
I,Copepoda,Metridinidae,Metridia gerlachei,,6.7,1.1,0.0011,-1,0.000214,0.111,80,Ikeda & Mitchell 1982,0.0011
I,Copepoda,Metridinidae,Metridia gerlachei,,8.3526,1.34,0.0013,-1.4,0.000265,0.114,80,Ikeda & Mitchell 1982,0.0013
I,Copepoda,Metridinidae,Metridia longa,MIN,8.2,1.46,0.00155,0.1,0.000353,0.1044,77.2,Ikeda & Skjoldal 1989,0.00155
I,Copepoda,Metridinidae,Metridia pacifica,MIN,4.2937,1.34,0.00074,8.2,0.000148,80,,Ikeda et al. 2001,0.00074
I,Copepoda,Metridinidae,Metridia pacifica,,7.4436,3.24,0.00047,13,0.000094,80,,Ikeda et al. 2001,0.00047
I,Copepoda,Metridinidae,Metridia princeps,MIN,0.808,0.202,0.0111,5,,,,Thuesen et al. 1998,0.0111
I,Copepoda,Metridinidae,Metridia princeps,,1.300,0.255,0.0125,1.5,,,,Thuesen et al. 1998,0.0125
I,Copepoda,Calanidae,Nannocalanus minor,MIN,5.0843,5.8,0.0002,26.9,0.00004,80,,Ikeda et al. 2001,0.0002
I,Copepoda,Calanidae,Neocalanus cristatus,MIN,0.5466,0.111,0.023,2,0.00832,0.0675,63.9,Ikeda et al. 2004,0.023
I,Copepoda,Calanidae,Neocalanus cristatus,,0.5762,0.117,0.0172,2,0.00611,0.0833,63.7,Ikeda et al. 2004,0.0172
I,Copepoda,Calanidae,Neocalanus cristatus,,0.6008,0.122,0.0264,2,0.00933,0.0741,64.5,Ikeda et al. 2004,0.0264
I,Copepoda,Calanidae,Neocalanus cristatus,,0.6550,0.133,0.0242,2,0.00797,0.0586,67.2,Ikeda et al. 2004,0.0242
I,Copepoda,Calanidae,Neocalanus cristatus,,0.6550,0.133,0.0269,2,0.00908,0.0609,65.6,Ikeda et al. 2004,0.0269
I,Copepoda,Calanidae,Neocalanus cristatus,,0.6845,0.139,0.021,2,0.0068,0.0754,67.6,Ikeda et al. 2004,0.021
I,Copepoda,Calanidae,Neocalanus cristatus,,0.7387,0.150,0.0236,2,0.00865,0.0689,63.5,Ikeda et al. 2004,0.0236
I,Copepoda,Calanidae,Neocalanus cristatus,,0.7929,0.161,0.0260,2,0.010,0.0687,61.3,Ikeda et al. 2004,0.0260
I,Copepoda,Calanidae,Neocalanus cristatus,,0.8470,0.172,0.0195,2,0.00579,0.0810,70.3,Ikeda et al. 2004,0.0195
I,Copepoda,Calanidae,Neocalanus cristatus,,0.8470,0.172,0.0221,2,0.00727,0.0697,67.8,Ikeda et al. 2004,0.0221
I,Copepoda,Calanidae,Neocalanus cristatus,,0.9012,0.183,0.0206,2,0.00355,0.0901,82.9,Ikeda et al. 2004,0.0206
I,Copepoda,Calanidae,Neocalanus cristatus,,0.9195,0.283,0.0192,8,0.00209,0.104,89.4,Ikeda et al. 2004,0.0192
I,Copepoda,Calanidae,Neocalanus cristatus,,0.9554,0.194,0.0299,2,0.00663,0.085,77.7,Ikeda et al. 2004,0.0299
I,Copepoda,Calanidae,Neocalanus cristatus,,1.2016,0.244,0.0153,2,0.00265,0.0863,83.1,Ikeda et al. 2004,0.0153
I,Copepoda,Calanidae,Neocalanus cristatus,,1.2241,0.328,0.0166,6,0.00172,0.0960,89.8,Ikeda et al. 2004,0.0166
I,Copepoda,Calanidae,Neocalanus cristatus,,1.2607,0.256,0.0226,2,0.00618,0.0685,72.2,Ikeda et al. 2004,0.0226
I,Copepoda,Calanidae,Neocalanus cristatus,,2.2161,0.450,0.0202,2,0.00524,0.0775,74.1,Ikeda et al. 2004,0.0202
I,Copepoda,Calanidae,Neocalanus cristatus,,2.2456,0.456,0.0090,2,0.0017,0.108,81.5,Ikeda et al. 2004,0.0090
I,Copepoda,Calanidae,Neocalanus cristatus,,4.2767,1.17,0.008,6.3,0.001587,80,,Ikeda et al. 2001,0.008
I,Copepoda,Calanidae,Neocalanus gracilis,MIN,5.2559,3.64,0.0025,19.7,0.0005,80,,Ikeda et al. 2001,0.0025
I,Copepoda,Calanidae,Neocalanus gracilis,,6.2275,7.667,0.00212,28,0.00039,81.6,,Ikeda 1970,0.00212
