species,family,order,M_mg,Q_uW25,mass_g
Trimerotropis sp.,Acrididae,Orthoptera,145.9,1007.5,0.1459
Trimerotropis suffusa,Acrididae,Orthoptera,297.5,906.2,0.2975
Xanthippus corallipes,Acrididae,Orthoptera,2302.2,7508.5,2.3022
Unknown genus,Acrididae,Orthoptera,2948.0,1354.6,2.948
Tanaocerus koebeli,Tanaoceridae,Orthoptera,102.5,625.9,0.1025
Xiphoceriana sp.,Acridiidae,Orthoptera,1568.0,743.0,1.568
Euborellia annulipes*,Carcinophoridae,Dermaptera,31.76,82.9,0.031760000000000004
Unknown genus,Psyllidae,Hemiptera,0.16,5.6,0.00016
Pseudococcus citri,Pseudococcidae,Hemiptera,1.3,11.3,0.0013
Neophilaenus lineatus,Cercopidae,Hemiptera,1.91,30.6,0.00191
Philaenus spumarius,Cercopidae,Hemiptera,3.93,59.5,0.00393
Cystosoma saundersii,Cicadidae,Hemiptera,1158.0,2345.1,1.158
Diceroprocta apache,Cicadidae,Hemiptera,622.0,1605.2,0.622
Fidicina mannifera,Cicadidae,Hemiptera,2840.0,9689.906,2.84
Multareoides bifurcatus,Membracidae,Hemiptera,1.34,15.2,0.00134
Hysteropterum sp.,Issidae,Hemiptera,1.71,40.3,0.00171
Phytocoris nigripubescens,Miridae,Hemiptera,1.27,30.8,0.00127
Slaterocoris sp.,Miridae,Hemiptera,0.86,17.2,0.00086
Unknown genus,Miridae,Hemiptera,0.51,12.0,0.00051
Unknown genus,Miridae,Hemiptera,3.56,72.9,0.0035600000000000002
Unknown genus,Miridae,Hemiptera,3.85,35.0,0.00385
Rhodnius prolixus,Reduviidae,Hemiptera,66.75,92.7,0.06675
Unknown genus,Nabidae,Hemiptera,1.89,25.9,0.00189
Dendrocoris contaminatus,Pentatomidae,Hemiptera,11.0,26.2,0.011
Unknown genus,Coreidae,Hemiptera,66.7,410.5,0.06670000000000001
Lygus kalmii,Lygaeidae,Hemiptera,10.17,146.3,0.01017
Unknown genus,Neididae,Hemiptera,0.95,28.1,0.00095
Corydalis cornutus,Corydalidae,Megaloptera,326.0,4724.5,0.326
Saprinus sp.,Histeridae,Coleoptera,8.21,65.4,0.00821
Sphaeridium lunatum,Hydrophilidae,Coleoptera,34.0,175.5,0.034
Species,Staphilinidae,Coleoptera,0.089,0.34,8.9e-05
Species,Carabidae,Coleoptera,0.89,1.34,0.0008900000000000001
Reichebnachia sp.,Pselaphidae,Coleoptera,0.077,0.82,7.7e-05
Popilius disjunctus,Passalidae,Coleoptera,1630.5,1611.6,1.6305
Popilius sp.,Passalidae,Coleoptera,563.0,799.4,0.563
Omorgus radula,Trogidae,Coleoptera,207.0,114.1,0.207
Geotrupes sp.,Geotrupiidae,Coleoptera,160.3,679.8,0.1603
Geotrupes spiniger,Geotrupidae,Coleoptera,825.0,4946.1,0.825
Aphodius contaminatus,Aphodiidae,Coleoptera,14.0,103.7,0.014
Aphodius fossor,Aphodiidae,Coleoptera,121.3,268.8,0.12129999999999999
Aphodius rufipes,Aphodiidae,Coleoptera,84.0,382.9,0.084
Aphodius distinctus,Scarabaeidae,Coleoptera,7.8,104.9,0.0078
Aphodius fimetarius,Scarabaeidae,Coleoptera,30.9,187.3,0.030899999999999997
Aphodius prodromus,Scarabaeidae,Coleoptera,13.8,167.0,0.013800000000000002
Aphodius rufus,Scarabaeidae,Coleoptera,209.0,170.4,0.209
Anomala sp.,Scarabaeidae,Coleoptera,100.0,137.0,0.1
Pelidnota sp.,Scarabaeidae,Coleoptera,1091.5,1511.5,1.0915
Coeloesis biloba,Scarabaeidae,Coleoptera,3735.0,3724.2,3.735
Strategus aloeus,Scarabaeidae,Coleoptera,5050.0,5149.6,5.05
Cyclocephala sp.,Scarabaeidae,Coleoptera,246.0,592.5,0.246
Dyscinetus sp.,Scarabaeidae,Coleoptera,390.0,469.6,0.39
Phileurus sp.,Scarabaeidae,Coleoptera,3501.0,1562.6,3.501
Sisiyphys fasciculatus,Scarabaeidae,Coleoptera,136.0,375.1,0.136
Anachalcos convexus,Scarabaeidae,Coleoptera,1421.0,1539.8,1.421
Circellium bacchus,Scarabaeidae,Coleoptera,7285.0,4017.3,7.285
Pachylomerus femoralis,Scarabaeidae,Coleoptera,4915.0,4282.2,4.915
Scarabaeus flavicornis,Scarabaeidae,Coleoptera,322.0,483.7,0.322
Scarabaeus galenus,Scarabaeidae,Coleoptera,1681.0,881.7,1.681
Scarabaeus westwoodi,Scarabaeidae,Coleoptera,1780.0,1324.7,1.78
Scarabaeus rusticus,Scarabaeidae,Coleoptera,1070.0,696.2,1.07
Scarabaeus gariepinus,Scarabaeidae,Coleoptera,1140.0,288.0,1.14
Scarabaeus striatum,Scarabaeidae,Coleoptera,790.0,282.6,0.79
Scarabaeus hippocrates,Scarabaeidae,Coleoptera,2010.0,622.1,2.01
Pleocoma australis,Scarabaeidae,Coleoptera,940.0,3238.8,0.94
Leucocelis elegans,Scarabaeidae,Coleoptera,80.0,337.0,0.08
Simplocaria metallica,Byrrhidae,Coleoptera,2.85,0.5,0.00285
Agrypnus bocandei,Elateridae,Coleoptera,166.2,71.6,0.1662
Rhizopertha dominica,Bostrichidae,Coleoptera,1.4,14.8,0.0014
Melyrid sp.,Melyridae,Coleoptera,1.16,20.9,0.00116
Hippodamia convergens,Coccinellidae,Coleoptera,17.0,193.2,0.017
Hydromedion sparsutum,Perimylopidae,Coleoptera,23.5,83.5,0.0235
Perimylops antarcticus,Perimylopidae,Coleoptera,14.5,48.6,0.0145
Adesmia baccata,Tenebrionidae,Coleoptera,407.0,179.2,0.407
Anepsius brunneus,Tenebrionidae,Coleoptera,6.15,24.8,0.00615
Centrioptera muricata,Tenebrionidae,Coleoptera,132.6,468.6,0.1326
Erodius nanus,Tenebrionidae,Coleoptera,21.9,101.3,0.0219
Euschides luctata,Tenebrionidae,Coleoptera,83.8,464.8,0.0838
Peristeptus sp.,Tenebrionidae,Coleoptera,55.0,54.5,0.055
Phrynocolus auriculatus,Tenebrionidae,Coleoptera,193.0,169.1,0.193
Phrynocolus petrosus,Tenebrionidae,Coleoptera,1109.0,355.7,1.109
Phrynocolus sp.,Tenebrionidae,Coleoptera,204.0,191.4,0.204
Physosterna cribripes,Tenebrionidae,Coleoptera,1226.0,2443.7,1.226
Physadesmia globosa,Tenebrionidae,Coleoptera,516.0,599.6,0.516
